Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
29.10.2010Edged andnumbered 5 inblue (part of),Flat 1301 Landmark EastTower (thirteenth floorflat),04.10.2010999 years from1.1.2009,AGL220769,
29.10.2010Edged andnumbered 5 inblue (part of),Flat 1210 Landmark EastTower (twelfth floor flat),20.10.2010999 years from1.1.2009,AGL220776,
29.10.2010Edged andnumbered 5 inblue (part of),Flat 1809 Landmark EastTower (eighteenth floorflat),18.08.2010999 years from1.1.2009,AGL220779,
29.10.2010Edged andnumbered 5 inblue (part of),Flat 2001 Landmark EastTower (twentieth floorflat),05.10.2010999 years from1.1.2009,AGL220781,
29.10.201059 in blue onsupplementaryplan 1,Parking space 38 LandmarkEast Tower (basement level),05.10.2010999 years from1.1.2009,AGL220785,
29.11.2010Edged andnumbered 5 inblue (part of),Flat 2007 Landmark EastTower (twentieth floorflat),01.10.2010999 years from1.1.2009,AGL220787,NOTE: See entry in the Charges register rel ating to a Deed o f Variation 384 384  dated 29/07/201 6.   384 0
01.11.2010Edged andnumbered 5 inblue (part of),Flat 1310 Landmark EastTower (thirteenth floorflat),05.10.2010999 years from1.1.2009,AGL220851,
01.11.2010Edged andnumbered 5 inblue (part of),Flat 1110 Landmark EastTower (eleventh floor flat),05.10.2010999 years from1.1.2009,AGL220855,
02.11.2010Edged andnumbered 5 inblue (part of),Flat 1411 Landmark EastTower (fourteenth floorflat),18.10.2010999 years from1.1.2009,AGL220894,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 1703 Landmark EastTower (seventeenth floorflat),10.09.2010999 years from1.1.2009,AGL220981,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 2202 Landmark EastTower (twenty second floorflat),13.10.2010999 years from1.1.2009,AGL220991,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 611 Landmark EastTower (sixth floor flat),22.10.2010999 years from1.1.2009,AGL220994,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 2807 Landmark EastTower (twenty eighth floorflat),01.10.2010999 years from1.1.2009,AGL220995,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 2608 Landmark EastTower (twenty sixth floorflat),22.10.2010999 years from1.1.2009,AGL220997,
03.11.2010Edged andnumbered 5 inblue (part of),Flat 2704 Landmark EastTower (twenty seventh floorflat),01.10.2010999 years from1.1.2009,AGL220999,
03.11.201062 in blue onsupplementaryplan 1,Parking space 118 LandmarkEast Tower (basement level),18.10.2010999 years from1.1.2009,AGL221071,
04.11.2010Edged andnumbered 5 inblue (part of),Flat 1204 Landmark EastTower (twelfth floor flat),28.10.2010999 years from1.1.2009,AGL221139,
04.11.201063 in blue onsupplementaryplan 1,Parking space 112 LandmarkEast Tower(basement level),28.10.2010999 years from1.1.2009,AGL221147,
04.11.2010Edged andnumbered 5 inblue (part of),Flat 1906 Landmark EastTower (nineteenth floorflat),21.10.2010999 years from1.1.2009,AGL221175,
04.11.201064 in blue onsupplementaryplan 1,Parking space 37 LandmarkEast Tower (basement level),21.10.2010999 years from1.1.2009,AGL221193,
05.11.201065 in blue onsupplementaryplan 1,Parking space 156 LandmarkEast Tower (basement level),10.09.2010999 years from1.1.2009,AGL221263,
08.11.2010Edged andnumbered 4 inblue (part of),Flat 3003 Landmark WestTower (thirteenth floorflat),29.09.2010999 years from1.1.2009,AGL221324,
08.11.201066 in blue onsupplementaryplan 1,Parking space 55 LandmarkEast Tower (basement level),29.09.2010999 years from1.1.2009,AGL221326,
10.11.2010Edged andnumbered 5 inblue (part of),Flat 2504 Landmark EastTower (twenty fifth floorflat),29.10.2010999 years from1.1.2009,AGL221498,
11.11.2010Edged andnumbered 5 inblue (part of),Flat 2802 Landmark EastTower (twenty eighth floorflat),01.10.2010999 years from1.1.2009,AGL221621,
12.11.2010Edged andnumbered 5 inblue (part of),Flat 2909 Landmark EastTower (twenty ninth floorflat),26.10.2010999 years from1.1.2009,AGL221688,
15.11.2010Edged andnumbered 5 inblue (part of),Flat 2701 Landmark EastTower (twenty seventh floorflat),03.11.2010999 years from1.1.2009,AGL221836,
15.11.2010Edged andnumbered 5 inblue (part of),Flat 1909 Landmark EastTower (nineteenth floorflat),21.10.2010999 years from1.1.2009,AGL221837,
16.11.2010Edged andnumbered 5 inblue (part of),Flat 2804 Landmark EastTower (twenty eighth floorflat),21.09.2010999 years from1.1.2009,AGL221906,
16.11.2010Edged andnumbered 5 inblue (part of),Flat 2201 Landmark EastTower (twenty second floorflat),17.08.2010999 years from1.1.2009,AGL221925,
16.11.2010Edged andnumbered 5 inblue (part of),Flat 1904 Landmark EastTower (nineteenth floorflat),03.09.2010999 years from1.1.2009,AGL221933,
16.11.2010Edged andnumbered 5 inblue (part of),Flat 2506 Landmark EastTower (twenty fifth floorflat),22.10.2010999 years from1.1.2009,AGL221950,
17.11.2010Edged andnumbered 5 inblue (part of),Flat 3604 Landmark EastTower (thirty sixth floorflat),04.11.2010999 years from1.1.2009,AGL221961,
17.11.201068 in blue onsupplementaryplan 1,Parking space 149 (basementlevel),04.11.2010999 years from1.1.2009,AGL221962,
18.11.2010Edged andnumbered 5 inblue (part of),Flat 2403 Landmark EastTower (twenty fourth floorflat),26.10.2010999 years from1.1.2009,AGL222044,
18.11.2010Edged andnumbered 4 inblue (part of),Flat 1110 Landmark WestTower (eleventh floor flat),26.03.2010999 years from1.1.2009,AGL222133,
18.11.2010Edged andnumbered 5 inblue (part of),Flat 2006 Landmark EastTower (twentieth floorflat),19.10.2010999 years from1.1.2009,AGL222134,
18.11.2010Edged andnumbered 5 inblue (part of),Flat 501 Landmark EastTower (fifth floor flat),07.09.2010999 years from1.1.2009,AGL222135,
18.11.201069 in blue onsupplementaryplan 1,Parking space 156 (basementlevel),19.10.2010999 years from1.1.2009,AGL222136,
19.11.2010Edged andnumbered 5 inblue (part of),Flat 1109 Landmark EastTower (eleventh floor flat),22.10.2010999 years from1.1.2009,AGL222147,
19.11.2010Edged andnumbered 5 inblue (part of),Flat 3107 Landmark EastTower (thirty first floorflat),22.10.2010999 years from1.1.2009,AGL222204,
22.11.2010Edged andnumbered 5 inblue (part of),Flat 2408 Landmark EastTower (twenty fourth floorflat),26.10.2010999 years from1.1.2009,AGL222288,
22.11.201074 in blue onsupplementaryplan 1,Parking space 120 (basementlevel),26.10.2010999 years from1.1.2009,AGL222288,
22.11.2010Edged andnumbered 5 inblue (part of),Flat 2606 Landmark EastTower (twenty sixth floorflat),03.11.2010999 years from1.1.2009,AGL222295,
22.11.2010Edged andnumbered 5 inblue (part of),Flat 3409 Landmark EastTower (thirty fourth floorflat),22.10.2010999 years from1.1.2009,AGL222343,
22.11.2010Edged andnumbered 5 inblue(part of),Flat 2407 Landmark EastTower (thirty fourth floorflat),05.11.2010999 years from1.1.2009,AGL222344,
22.11.201075 in blue onsupplementaryplan 1,Parking space 31 (basementlevel),05.11.2010999 years from1.1.2009,AGL222344,
22.11.2010Edged andnumbered 5 inblue (part of),Flat 3308 Landmark EastTower (thirty third floorflat),22.10.2010999 years from1.1.2009,AGL222345,
23.11.2010Edged andnumbered 5 inblue (part of),Flat 2808 Landmark EastTower (twenty eighth floorflat),15.09.2010999 years from1.1.2009,AGL222442,
23.11.2010Edged andnumbered 5 inblue (part of),Flat 1804 Landmark EastTower (eighteenth floorflat),17.08.2010999 years from1.1.2009,AGL222443,
16.11.2010Edged andnumbered 5 inblue (part of),Flat 1803 Landmark EastTower (eighteenth floorflat),17.08.2010999 years from1.1.2009,AGL221949,
16.11.201067 in blue onsupplementaryplan 1,Parking space 40 (basementlevel),22.10.2010999 years from1.1.2009,AGL221951,
25.11.2010Edged andnumbered 5 inblue (part of),Flat 1508 Landmark EastTower (fifteenth floorflat),06.09.2010999 years from1.1.2009,AGL222610,
26.11.2010Edged andnumbered 5 inblue (part of),Flat 3507 Landmark EastTower (thirty fifth floorflat),05.11.2010999 years from1.1.2009,AGL222694,
26.11.2010Edged andnumbered 5 inblue (part of),Flat 1105 Landmark EastTower (eleventh floor flat),12.10.2010999 years from1.1.2009,AGL222697,
29.11.2010Edged andnumbered 4 inblue (part of),Flat 609 Landmark WestTower (sixth floor flat),25.10.2010999 years from1.1.2009,AGL222770,
29.11.2010Edged andnumbered 5 inblue (part of),Flat 3008 Landmark EastTower (thirtieth floorflat),02.11.2010999 years from1.1.2009,AGL222786,
01.12.2010Edged andnumbered 5 inblue (part of),Flat 1504 Landmark EastTower (fifteenth floorflat),19.11.2010999 years from1.1.2009,AGL223003,
01.12.2010Edged andnumbered 5 inblue (part of),Flat 411 Landmark EastTower (fourth floor flat),04.11.2010999 years from1.1.2009,AGL223004,
01.12.2010Edged andnumbered 76 inblue onsupplementaryplan 1,Parking space 78 (LandmarkCar Park),05.11.2010999 years from1.1.2009,AGL223005,
01.12.2010Edged andnumbered 4 inblue (part of),Flat 2505 Landmark WestTower (twenty fifth floorflat),05.11.2010999 years from1.1.2009,AGL223005,
03.12.2010Edged andnumbered 5 inblue (part of),Flat 1304 Landmark EastTower (thirteenth floorflat),11.11.2010999 years from1.1.2009,AGL223098,
03.12.2010Edged andnumbered 5 inblue (part of),Flat 3208 Landmark EastTower (thirty second floorflat),04.11.2010999 years from1.1.2009,AGL223108,
08.12.2010Edged andnumbered 5 inblue (part of),Flat 1010 Landmark EastTower (tenth floor flat),08.09.2010999 years from1.1.2009,AGL223400,
08.12.2010Edged andnumbered 5 inblue (part of),Flat 3304 Landmark EastTower (thirty third floorflat),02.11.2010999 years from1.1.2009,AGL223413,
09.12.2010Edged andnumbered 4 inblue (part of),Flat 1502 Landmark WestTower (fifteenth floorflat),19.11.2010999 years from1.1.2009,AGL223478,
09.12.2010Edged andnumbered 81 inblue onsupplementaryplan 1,Parking space 4 (LandmarkCar Park),25.11.2010999 years from1.1.2009,AGL223478,
10.12.2010Edged andnumbered 5 inblue (part of),Flat 3906 Landmark EastTower (thirty ninth floorflat),25.11.2010999 years from1.1.2009,AGL223527,
10.12.2010Edged andnumbered 79 inblue onsupplementaryplan 1,Parking space 145 (basementlevel),25.11.2010999 years from1.1.2009,AGL223548,
10.12.2010Edged andnumbered 5 inblue (part of),Flat 4206 Landmark EastTower (forty second floorflat),05.11.2010999 years from1.1.2009,AGL223581,
10.12.201080 on thesupplementaryplan,Parking space 134 & 135,05.11.2010999 years from1.1.2009,AGL223581,
10.12.2010Edged andnumbered 5 inblue (part of),Flat 3109 Landmark EastTower (thirty first floorflat),12.11.2010999 years from1.1.2009,AGL223594,
13.12.2010Edged andnumbered 5 inblue (part of),Flat 3305 Landmark EastTower (thirty third floorflat),22.10.2010999 years from1.1.2009,AGL223654,
13.12.201082 on thesupplementaryplan,Parking space 152 (basementlevel),22.10.2010999 years from1.1.2009,AGL223654,
15.12.2010Edged andnumbered 5 inblue (part of),Flat 1708 Landmark EastTower (seventeenth floorflat),15.11.2010999 years from1.1.2009,AGL223805,
15.12.201083 on thesupplementaryplan,Parking space 161 (basementlevel),15.11.2010999 years from1.1.2009,AGL223805,
15.12.2010Edged andnumbered 5 inblue (part of),Flat 3804 Landmark EastTower (thirty eighth floorflat),12.11.2010999 years from1.1.2009,AGL223815,
15.12.2010Edged andnumbered 5 inblue (part of),Flat 2809 Landmark EastTower (twenty eighth floorflat),01.10.2010999 years from1.1.2009,AGL223842,
15.12.2010Edged andnumbered 5 inblue (part of),Flat 3504 Landmark EastTower (thirty fifth floorflat),12.11.2010999 years from1.1.2009,AGL223859,
15.12.2010Edged andnumbered 5 inblue (part of),Flat 3509 Landmark EastTower (thirty fifth floorflat),12.11.2010999 years from1.1.2009,AGL223862,
15.12.201078 on thesupplementaryplan,Parking space 34 (basementlevel),12.11.2010999 years from1.1.2009,AGL223863,
17.12.2010Edged andnumbered 5 inblue (part of),Flat 3005 Landmark EastTower (thirtieth floorflat),01.12.2010999 years from1.1.2009,AGL224043,
17.12.2010Edged andnumbered 5 inblue (part of),Flat 2204 Landmark EastTower (twenty second floorflat),06.10.2010999 years from1.1.2009,AGL224044,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 2207 Landmark EastTower (twenty second floorflat),18.11.2010999 years from1.1.2009,AGL224122,
22.12.2010Edged andnumbered 5 inblue (part of),Flat 4107 Landmark EastTower (forty first floorflat),08.12.2010999 years from1.1.2009,AGL224147,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 1611 Landmark EastTower (sixteenth floorflat),06.12.2010999 years from1.1.2009,AGL224154,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 4006 Landmark EastTower (fortieth floor flat),23.11.2010999 years from1.1.2009,AGL224163,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 1201 Landmark EastTower (twelfth floor flat),16.11.2010999 years from1.1.2009,AGL224170,
20.12.201070 on thesupplementaryplan,Parking space 154 (basementlevel),23.11.2010999 years from1.1.2009,AGL224172,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 2706 Landmark EastTower (twenty seventh floorflat),16.11.2010999 years from1.1.2009,AGL224173,
20.12.201084 on thesupplementaryplan,Parking space 122 (basementlevel),16.11.2010999 years from1.1.2009,AGL224173,
20.12.2010Edged andnumbered 5 inblue (part of),Flat 1509 Landmark EastTower (fifteenth floorflat),16.11.2010999 years from1.1.2009,AGL224174,
20.12.201085 on thesupplementaryplan,Parking space 161 (basementlevel),16.12.2010999 years from1.1.2009,AGL224174,
21.12.2010Edged andnumbered 5 inblue (part of),Flat 2709 Landmark EastTower (twenty seventh floorflat),16.12.2010999 years from1.1.2009,AGL224182,
21.12.2010Edged andnumbered 5 inblue (part of),Flat 2803 Landmark EastTower (twenty eighth floorflat),16.11.2010999 years from1.1.2009,AGL224200,
21.12.2010Edged andnumbered 5 inblue (part of),Flat 3108 Landmark EastTower (thirty first floorflat),16.11.2010999 years from1.1.2009,AGL224216,
21.12.2010Edged andnumbered 5 inblue (part of),Flat 2003 Landmark EastTower (twentieth floorflat),26.11.2010999 years from1.1.2009,AGL224223,
22.12.2010Edged andnumbered 5 inblue (part of),Flat 3506 Landmark EastTower (thirty fifth floorflat),23.11.2010999 years from1.1.2009,AGL224264,
22.12.2010Edged andnumbered 5 inblue (part of),Flat 3207 Landmark EastTower (thirty second floorflat),16.11.2010999 years from1.1.2009,AGL224294,
22.12.2010Edged andnumbered 5 inblue (part of),Flat 3807 Landmark EastTower (thirty eighth floorflat),12.11.2010999 years from1.1.2009,AGL224343,
23.12.2010Edged andnumbered 5 inblue (part of),Flat 1211 Landmark EastTower (twelfth floor flat),26.11.2010999 years from1.1.2009,AGL224369,
24.12.2010Edged andnumbered 5 inblue (part of),Flat 711 Landmark EastTower (seventh floor flat),06.12.2010999 years from1.1.2009,AGL224564,
24.12.2010Edged andnumbered 5 inblue (part of),Flat 3301 Landmark EastTower (thirty third floorflat),16.11.2010999 years from1.1.2009,AGL224570,
24.12.201086 on thesupplementaryplan,Parking space 150 (basementlevel),16.11.2010999 years from1.1.2009,AGL224570,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 1011 Landmark EastTower (tenth floor flat),22.11.2010999 years from1.1.2009,AGL224594,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 2902 Landmark EastTower (twenty ninth floorflat),29.11.2010999 years from1.1.2009,AGL224595,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 3406 Landmark EastTower (thirty fourth floorflat),26.11.2010999 years from1.1.2009,AGL224606,
29.12.201087 on thesupplementaryplan,Parking space 125 (basementlevel),26.11.2010999 years from1.1.2009,AGL224606,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 3104 Landmark EastTower (thirty first floorflat),29.11.2010999 years from1.1.2009,AGL224607,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 1206 Landmark EastTower (twelfth floor flat),10.12.2010999 years from1.1.2009,AGL224613,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 2502 Landmark EastTower (twenty fifth floorflat),26.11.2010999 years from1.1.2009,AGL224625,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 610 Landmark EastTower (sixth floor flat),26.11.2010999 years from1.1.2009,AGL224627,
29.12.2010Edged andnumbered 5 inblue (part of),Flat 2406 Landmark EastTower (twenty fourth floorflat),09.12.2010999 years from1.1.2009,AGL224628,
30.12.2010Edged andnumbered 5 inblue (part of),Flat 1410 Landmark EastTower (fourteenth floorflat),09.12.2010999 years from1.1.2009,AGL224643,
30.12.201088 on thesupplementaryplan,Parking space 162 (basementlevel),09.12.2010999 years from1.1.2009,AGL224643,
31.12.2010Edged andnumbered 5 inblue (part of),Flat 3001 Landmark EastTower (thirtieth floorflat),26.11.2010999 years from1.1.2009,AGL224675,
31.12.201099 on thesupplementaryplan,Parking space 151 (basementlevel),26.11.2010999 years from1.1.2009,AGL224675,
07.01.2011Edged andnumbered 5 inblue(part of),Flat 3605 Landmark EastTower (thirty sixth floorflat),30.11.2010999 years from1.1.2009,AGL224912,
07.01.201189 on thesupplementaryplan,Parking space 30 (basementlevel),07.12.2010999 years from1.1.2009,AGL225029,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1307 Landmark EastTower (thirteenth floorflat),18.11.2010999 years from1.1.2009,AGL225047,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 509 Landmark EastTower (fifth floor flat),06.12.2010999 years from1.1.2009,AGL225049,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 3204 Landmark EastTower (thirty second floorflat),07.12.2010999 years from1.1.2009,AGL225050,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1511 Landmark EastTower (fifteenth floorflat),20.12.2010999 years from1.1.2009,AGL225051,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1603 Landmark EastTower (sixteenth floorflat),08.12.2010999 years from1.1.2009,AGL225052,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 4101 Landmark EastTower (forty first floorflat),08.12.2010999 years from1.1.2009,AGL225054,
10.01.201190 on thesupplementaryplan,Parking space 127 (basementlevel),08.12.2010999 years from1.1.2009,AGL225053,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 2004 Landmark EastTower (twentieth floorflat),09.12.2010999 years from1.1.2009,AGL225054,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 3002 Landmark EastTower (thirtieth floorflat),01.12.2010999 years from1.1.2009,AGL225055,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 4004 Landmark EastTower (fortieth floor flat),20.12.2010999 years from1.1.2009,AGL225058,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 2404 Landmark EastTower (twenty fourth floorflat),08.12.2010999 years from1.1.2009,AGL225059,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 3002 Landmark WestTower (thirtieth floorflat),07.12.2010999 years from1.1.2009,AGL225060,
10.01.201191 on thesupplementaryplan,Parking space 53 (basementlevel),07.12.2010999 years from1.1.2009,AGL225060,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1503 Landmark EastTower (fifteenth floorflat),08.12.2010999 years from1.1.2009,AGL225061,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 2406 Landmark EastTower (twenty fourth floorflat),23.09.2010999 years from1.1.2009,AGL225062,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1607 Landmark EastTower (sixteenth floorflat),17.12.2010999 years from1.1.2009,AGL225064,
10.01.201171 on thesupplementaryplan,Parking space 115 (basementlevel),17.12.2010999 years from1.1.2009,AGL225064,
10.01.2011Edged andnumbered 5 inblue (Part of),Flat 2407 Landmark EastTower (twenty fourth floorflat),10.12.2010999 years from1.1.2009,AGL225088,
10.01.201197 on thesupplementaryplan,Parking space 119 (basementlevel),10.12.2010999 years from1.1.2009,AGL225088,
10.01.2011Edged andnumbered 5 inblue (part of),Flat 1702 Landmark EastTower  (seventeenth floorflat),16.12.2010999 years from1.1.2009,AGL225090,
11.01.2011Edged andnumbered 5 inblue (part of),Flat 3309 Landmark EastTower (thirty third floorflat),15.11.2010999 years from1.1.2009,AGL225235,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 3907 Landmark EastTower (thirty ninth floorflat),25.11.2010999 years from1.1.2009,AGL225286,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 3303 Landmark EastTower (thirty third floorflat),21.12.2010999 years from1.1.2009,AGL225287,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 2609 Landmark EastTower (twenty sixth floorflat),17.12.2010999 years from1.1.2009,AGL225288,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 3307 Landmark EastTower (thirty third floorflat),22.10.2010999 years from1.1.2009,AGL225289,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 3007 Landmark EastTower (thirtieth floorflat),08.12.2010999 years from1.1.2009,AGL225290,
12.01.201172 in blue onthesupplementaryplan,Parking space 124 (basementlevel),06.12.2010999 years from1.1.2009,AGL225296,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 3401 Landmark EastTower (thirty fourth floorflat),06.12.2010999 years from1.1.2009,AGL225315,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 1707 Landmark EastTower (seventeenth floorflat),21.12.2010999 years from1.1.2009,AGL225329,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 2604 Landmark EastTower (twenty sixth floorflat),31.12.2010999 years from1.1.2009,AGL225340,
12.01.2011Edged andnumbered 5 inblue (part of),Flat 1604 Landmark EastTower (sixteenth floorflat),17.12.2010999 years from1.1.2009,AGL225348,
13.01.2011Edged andnumbered 5 inblue (part of),Flat 402 Landmark EastTower (fourth floor flat),23.11.2010999 years from1.1.2009,AGL225364,
14.01.2011Edged andnumbered 5 inblue (part of),Flat 511 Landmark EastTower (fifth floor flat),09.12.2010999 years from1.1.2009,AGL225488,
14.01.2011Edged andnumbered 5 inblue (part of),Flat 911 Landmark EastTower (ninth floor flat),09.12.2010999 years from1.1.2009,AGL225490,
14.01.2011Edged andnumbered 5 inblue (part of),Flat 3808 Landmark EastTower (thirty eighth floorflat),08.12.2010999 years from1.1.2009,AGL225492,
14.01.2011Edged andnumbered 5 inblue (part of),Flat 2805 Landmark EastTower (twenty eighth floorflat),09.12.2010999 years from1.1.2009,AGL225494,
14.01.201192 on thesupplementaryplan,Parking space 123 (basementlevel),09.12.2010999 years from1.1.2009,AGL225494,
17.01.2011Edged andnumbered 5 inblue (part of),Flat 3904 Landmark EastTower (thirty ninth floorflat),15.12.2010999 years from1.1.2009,AGL225596,
17.01.201193 on thesupplementaryplan,Parking space 163 (basementlevel),15.12.2010999 years from1.1.2009,AGL225596,
17.01.2011Edged andnumbered 5 inblue (part of),Flat 2907 Landmark EastTower (twenty ninth floorflat),09.12.2010999 years from1.1.2009,AGL225601,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3403 Landmark EastTower (thirty fourth floorflat),20.12.2010999 years from1.1.2009,AGL225720,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 1701 Landmark EastTower (seventeenth floorflat),10.12.2010999 years from1.1.2009,AGL225722,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3908 Landmark EastTower (thirty ninth floorflat),16.12.2010999 years from1.1.2009,AGL225724,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3003 Landmark EastTower (thirtieth floorflat),21.12.2010999 years from1.1.2009,AGL225728,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3909 Landmark EastTower (thirty ninth floorflat),25.11.2010999 years from1.1.2009,AGL225729,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 2602 Landmark EastTower (twenty sixth floorflat),21.12.2010999 years from1.1.2009,AGL225731,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 4106 Landmark EastTower (forty first floorflat),16.12.2010999 years from1.1.2009,AGL225732,
18.01.201194 on thesupplementaryplan,Parking space 43 (basementlevel),16.12.2010999 years from1.1.2009,AGL225732,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 1108 Landmark EastTower (eleventh floor flat),05.01.2011999 years from1.1.2009,AGL225733,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3910 Landmark EastTower (thirty ninth floorflat),07.12.2010999 years from1.1.2009,AGL225757,
18.01.201173 on thesupplementaryplan,Parking space 128 (basementlevel),07.12.2010999 years from1.1.2009,AGL225757,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 1002 Landmark EastTower (tenth floor flat),09.12.2010999 years from1.1.2009,AGL225775,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 1308 Landmark EastTower (thirteenth floorflat),15.12.2010999 years from1.1.2009,AGL225777,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 3106 Landmark EastTower (thirty first floorflat),09.12.2010999 years from1.1.2009,AGL225790,
18.01.2011Edged andnumbered 5 inblue (part of),Flat 1101 Landmark EastTower (eleventh floor flat),06.01.2011999 years from1.1.2009,AGL225807,
26.01.2011Edged andnumbered 5 inblue (part of),Flat 2906 Landmark EastTower (twenty ninth floorflat),22.12.2010999 years fromand including01/01/2009until andincluding31/12/3007,AGL226360,
20.01.2011Edged andnumbered 5 inblue (part of),Flat 3410 Landmark EastTower (thirty fourth floorflat),10.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL225923,
20.01.2011Edged andnumbered 5 inblue (part of),Flat 211 Landmark EastTower (second floor flat),06.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL225924,
20.01.2011Edged andnumbered 5 inblue (part of),Flat 2203 Landmark EastTower (twenty second floorflat),03.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL225925,
21.01.2011Edged andnumbered 5 inblue (part of),Flat 3408 Landmark EastTower (thirty fourth floorflat),14.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL226042,
21.01.2011Edged andnumbered 5 inblue (part of),Flat 1311 Landmark EastTower (thirteenth floorflat),15.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226047,
24.01.2011Edged andnumbered 5 inblue (part of),Flat 2409 Landmark EastTower (twenty fourth floorflat),06.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL226162,
24.01.201177 in blue onsupplementaryplan 1,Parking space 121 (basementlevel),06.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL226162,
21.01.2011Edged andnumbered 5 inblue (part of),Flat 1410 Landmark EastTower (fourteenth floorflat),10.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL226263,
21.01.2011Edged andnumbered 5 inblue (part of),Flat 3901 Landmark EastTower (thirty ninth floorflat),01.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226281,
21.01.201198 in blue onsupplementaryplan 1,Parking space 166 (basementlevel),01.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226281,
28.01.2011Edged andnumbered 5 inblue (part of),Flat 3905 Landmark EastTower (thirty ninth floorflat),17.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226522,
28.01.2011Edged andnumbered 5 inblue (part of),Flat 3205 Landmark EastTower (thirty second floorflat),17.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226556,
28.01.2011Edged andnumbered 5 inblue (part of),Flat 2605 Landmark EastTower (twenty sixth floorflat),15.12.2010999 years fromand including01.01.2009until andincluding31.12.3007,AGL226579,
31.01.2011Edged andnumbered 5 inblue (part of),Flat 3405 Landmark EastTower (thirty fourth floorflat),07.01.2011999 years fromand including01.01.2009until andincluding31.12.3007,AGL226623,
31.01.201195 on thesupplementaryplan,Parking space 147 (basementlevel),07.01.2011999 years fromand including1.1.2009,AGL226666,
07.02.2011Edged andnumbered 5 inblue (part of),Flat 4110 Landmark EastTower (forty first floorflat),13.12.2010999 years from1.1.2009,AGL227056,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 569 569  dated 3 October 2013   569 0
29.10.201060 in blue onsupplementaryplan,Parking space 116 (basementlevel),01.10.2010999 years from1.1.2009,AGL220789,
